Ordem,Seleção SOE ,Seleção SPR/SRE ,PrioridadeANA,FID,Ano/RHNR,Situação,GestorPCD,CODIGO,NOME,OBJ1,OBJ2,OBJ3,OBJ4,OBJ5,OBJ6,SOMA,NTRECHOSAT,UR,Latitude,Longitude,AreaDrenag,Escala,Registrador de nível,Descarga líquida,Sedimentos,Qualidade da água,Telemétrica,Descricao,Observações Adicionais
1,,,,,2020,,,8250002,CALÇOENE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
90,,,,525,,,,17380000,JUSANTE FOZ PEIXOTO DE AZEVEDO,1,0,1,0,0,1,3,3,SUREG-GO,-9.6405999999999992,-56.019399999999997,81600,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_SCD_INPE
91,,,,492,2018,Operando,Sim,17900000,SANTARÉM,0,1,1,1,0,0,3,1,SUREG-BE,-2.4136000000000002,-54.7378,493000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
92,,,,473,2018,Operando,Sim,18390000,ALMEIRIM,0,0,0,1,0,0,1,1,SUREG-BE,-1.5327999999999999,-52.576900000000002,5460000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
93,,,,,2020,Operando,,18460000,BOA SORTE,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
94,,,,,2020,,,18480000,FAZENDA RIO DOURADO,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
95,,,,,2020,Operando,,18500000,BOA ESPERANÇA,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
96,,,,,2020,Operando,,18700000,PEDRA DO Ó,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
97,,,,,2020,,,18850000,ALTAMIRA,,,,,,,,,SUREG-BE,,,,,,,,,,,ENTROU NA RHNR 2020
98,,,,334,2018,Operando,Sim,18950003,PORTO DE MOZ,0,1,1,1,0,0,3,2,SUREG-BE,-1.7531000000000001,-52.240000000000002,509000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
99,,,,138,,,,19100000,IRATAPURU,0,1,0,1,0,0,2,1,SUREG-BE,-0.5544,-52.579700000000003,4470,1,0,1,0,1,0, 
100,,,,852,,,,19150000,SÃO FRANCISCO,0,0,0,0,0,1,1,1,SUREG-BE,-0.56779999999999997,-52.569200000000002,51500,1,0,1,1,1,0, 
101,,,,416,2019,Operando,,19152500,LARANJAL DO JARI,0,1,1,1,0,0,3,2,SUREG-BE,-0.8569,-52.524999999999999,53100,1,0,0,0,0,0, 
102,,Sim,Sim,79,2018,Operando,Sim,19500000,MACAPÁ,1,1,1,0,0,0,3,3,SUREG-BE,0.021899999999999999,-51.0503,5930000,1,0,0,0,0,1,TELEMÉTRICA - VAISALA_GOES
103,,,,813,2017,Operando,Sim,19985000,PACAJÁS,0,0,0,1,1,0,2,1,SUREG-BE,-3.8538999999999999,-50.636099999999999,2682,1,0,1,0,1,0, 
104,,Sim,Sim,255,2017,Operando,Sim,20100000,JARAGUÁ,0,0,0,1,0,0,1,1,SUREG-GO,-15.7186,-49.327800000000003,1970,1,0,1,0,1,0, 
105,,Sim,Sim,162,2017,Operando,Sim,20200000,URUANA,0,0,0,1,0,0,1,1,SUREG-GO,-15.4961,-49.690800000000003,3700,1,0,1,0,1,0, 
106,,,,861,2018,Operando,Sim,21210000,FAZENDA ESPÍRITO SANTO,0,1,0,0,0,0,1,1,SUREG-GO,-15.3222,-47.381700000000002,533,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
107,,Sim,Sim,94,2019,Operando,,21220000,FLORES DE GOIÁS,0,0,0,1,0,0,1,1,SUREG-GO,-14.450799999999999,-47.047199999999997,7210,1,0,1,1,1,1,TELEMÉTRICA - VAISALA_GOES
108,,Sim,Sim,106,2019,Operando,,21500000,NOVA ROMA (FAZ.SUCURI),0,0,0,1,0,0,1,1,SUREG-GO,-13.762499999999999,-46.837499999999999,22600,1,0,1,1,1,0, 
109,,,,338,2019,Operando,,22050001,PEIXE,0,0,0,1,0,1,2,2,SUREG-GO,-12.023099999999999,-48.532800000000002,128000,1,0,1,1,1,0, 
110,,Sim,Sim,232,2019,Operando,,22100000,COLONHA,0,0,1,0,0,0,1,1,SUREG-GO,-12.392200000000001,-48.7117,8720,1,0,1,0,1,0, 
111,,,,692,2019,,,22150000,JACINTO,0,0,1,0,0,0,1,1,SUREG-GO,-11.9819,-48.657200000000003,13900,1,0,1,1,1,1, 
112,,,,381,2019,Operando,,22220000,PORTO JERÔNIMO - FAZ. PIRACICABA,0,1,0,0,0,0,1,1,SUREG-GO,-11.758599999999999,-47.8367,10300,1,0,1,0,1,1,TELEMÉTRICA - VAISALA_GOES
