,Codigo,Sigla,Nome
303,695,CONSTRUTORA LJA,Construtora LJA Ltda.
304,516,CONTESTADO,Contestado Energética S.A
305,44,CONTUR,Contur Energética
306,368,COOP.STA. MARIA,Cooperativa Geradora de Energia Elétrica e Desenvolvimento Santa Maria
307,135,COOPERLUZ,Cooperativa de Geração de Energia e Desenvolvimento COOPERLUZ Geração
308,1211,COOPERMIL,Cooperativa Mista São Luiz LTDA.
309,517,COOPERZEM,Cooperzem Cooperativa de Geração de Energia e Desenvolvimento - Cooperzem Geração
310,54,COPASA-MG,Cia de Saneamento de Minas Gerais
311,28,COPEL,Copel Geração e Transmissão S.A
312,338,COPPE/UFRJ,COPPE/UFRJ
313,176,COPREL,Cooperativa de Geração de Energia e Desenvolvimento-Coprel
314,518,COQUEIRAL,Coqueiral Energética Ltda.
315,519,CORONEL ARAUJO,Coronel Araújo Energética S.A
316,1239,CÓRREGO,Hidroeletrica Córrego Ltda
317,520,CORUMBÁ COM,Corumbá Concessões S.A
318,285,COSTA BARROS,Costa Barros Engenharia
319,178,COSTA RICA,Costa Rica Energética Ltda.
320,523,COTESA,COTESA Geradora de Energia - PCH São Sebastião Ltda.
321,215,COTIPORÃ,Cotiporã Energética S.A.
322,1045,COURO DO CERVO,Couro do Cervo Energia Ltda.
323,525,COVÓ,Covó Geração de Energia Elétrica Ltda.
324,229,CPFL GERAÇÃO,CPFL Geração de Energias S.A.
325,36,CPFL-FERROLIGAS,Cia Paulista de Ferro Ligas
326,526,CPFL-SUL,CPFL Sul Centrais Elétricas Ltda
327,104,CPRH-PE,Companhia Pernambucana do Meio Ambiente
328,82,CPRM,Cia de Pesquisa de Recursos Minerais
329,107,CRA,Centro de Recursos Ambientais da Bahia
330,1205,CRELUZ,COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO
331,179,CRELUZ G,Cooperativa de Geração de Energia e Desenvolvimento
332,300,CRISTALINO,Cristalino Energia Ltda.
333,263,CRISTO REI,Industrias Reunidas Cristo Rei Ltda.
334,294,CRIÚVA,Criuva Energética S.A.
335,218,CSPE,CSPE - Companhia Sul Paulista de Energia
336,33,CTNP,Cia de Terras Norte do Paraná
