RegistroID,Importado,Temporario,Removido,ImportadoRepetido,Codigo,Sigla,Nome,DataIns,DataAlt,RespAlt
20567,0,0,0,0,1159,SANTANA,Santana Energética Ltda,10/07/2020,,6
20568,0,0,0,0,1160,ARA,ARA  Geração de Energia Santa Luzia Ltda.,10/07/2020,,6
20569,0,0,0,0,1161,TRANSLEAD,Translead Empreendimentos e Incorporações Ltda.,10/07/2020,,6
20570,0,0,0,0,1162,VARGEÃO,Geradora de Energia Vargeão Ltda,10/07/2020,,6
20571,0,0,0,0,1163,F.D.A.,F.D.A. Geração de Energia Elétrica S.A.,10/07/2020,,6
20572,0,0,0,0,1164,TAGUÁ,Taguá Energia Ltda,10/07/2020,,6
20573,0,0,0,0,1165,MU,MU Energias Renováveis Ltda,10/07/2020,,6
20574,0,0,0,0,1166,CAVERNOSO III,Cavernoso III Energia SPE Ltda,10/07/2020,,6
20575,0,0,0,0,1167,CAVERNOSO IV,Cavernoso IV Energia SPE Ltda,10/07/2020,,6
20576,0,0,0,0,1168,CERQUINHA,Cerquinha III Energética S.A.,10/07/2020,,6
20577,0,0,0,0,1169,COPREL,Coprel Coperativa de Geração de Energia e Desenvolvimento,10/07/2020,,6
20578,0,0,0,0,1170,CABUÍ,PCH Cabuí SPE S.A.,10/07/2020,,6
20579,0,0,0,0,1171,RODEIO,Rodeio Energética S.A.,10/07/2020,,6
20580,0,0,0,0,1172,SÃO CARLOS,São Carlos Energia Ltda,10/07/2020,,6
